name;happinessIndex;gdpPerCapita;socialSupport;healthIndex;freedomIndex;corruptionPerception;generosityIndex
Finland;1,000000;0,795724;0,977217;0,864154;0,944532;0,867550;0,270318
Denmark;0,965622;0,821259;0,968596;0,872918;0,938193;0,905077;0,445230
Norway;0,956265;0,883610;0,974138;0,900964;0,955626;0,752759;0,478799
Iceland;0,944060;0,819477;1,000000;0,899211;0,936609;0,260486;0,625442
Netherlands;0,942840;0,828979;0,937192;0,875548;0,882726;0,657837;0,568905
Switzerland;0,941212;0,862233;0,939655;0,921998;0,906498;0,757174;0,464664
Sweden;0,913344;0,823634;0,915640;0,884312;0,909667;0,823400;0,471731
New Zealand;0,906021;0,773753;0,958744;0,899211;0,927100;0,838852;0,583039
Canada;0,900122;0,810570;0,926724;0,910605;0,925515;0,679912;0,503534
Austria;0,893613;0,817102;0,908251;0,890447;0,843106;0,498896;0,431095
Australia;0,889951;0,814727;0,953202;0,907975;0,882726;0,640177;0,586572
Costa Rica;0,877543;0,614014;0,887315;0,843996;0,884311;0,205298;0,254417
Israel;0,871847;0,757720;0,895936;0,901840;0,587956;0,181015;0,461131
Luxembourg;0,861880;0,955463;0,910714;0,886941;0,833597;0,697572;0,342756
United Kingdom;0,854557;0,791568;0,947044;0,872918;0,713154;0,613687;0,614841
Ireland;0,847844;0,890143;0,956281;0,875548;0,817750;0,684327;0,526502
Germany;0,840521;0,815321;0,895320;0,865031;0,784469;0,584989;0,461131
Belgium;0,827909;0,805226;0,926108;0,864154;0,749604;0,463576;0,282686
United States;0,821603;0,850950;0,897167;0,765995;0,719493;0,282561;0,494700
Czech Republic;0,813466;0,753563;0,915640;0,806310;0,724247;0,079470;0,081272
United Arab Emirates;0,807974;0,892518;0,806650;0,723050;0,947702;0,401766;0,462898
Malta;0,787836;0,771971;0,935961;0,875548;0,893819;0,333333;0,662544
Mexico;0,761188;0,635392;0,814655;0,754601;0,686212;0,161148;0,130742
France;0,760578;0,786223;0,906404;0,915863;0,690967;0,403974;0,196113
Taiwan;0,730879;0,812352;0,880542;0,801052;0,556260;0,214128;0,427562
Chile;0,730472;0,688242;0,842980;0,806310;0,565769;0,123620;0,330389
Guatemala;0,728845;0,475059;0,781404;0,653812;0,847861;0,172185;0,309187
Saudi Arabia;0,716436;0,833135;0,835591;0,696757;0,695721;0,291391;0,141343
Qatar;0,716233;1,000000;0,808498;0,763365;0,879556;0,368653;0,388693
Spain;0,712164;0,763658;0,913793;0,930762;0,573693;0,174393;0,270318
Panama;0,705452;0,682304;0,887931;0,797546;0,817750;0,119205;0,192580
Brazil;0,701180;0,596200;0,886084;0,702892;0,618067;0,189845;0,174912
Uruguay;0,699756;0,667458;0,902094;0,780894;0,828843;0,331126;0,224382
Singapore;0,693450;0,933492;0,900862;1,000000;0,881141;1,000000;0,478799
El Salvador;0,691619;0,471496;0,764778;0,691499;0,681458;0,163355;0,164311
Italy;0,685517;0,768409;0,916256;0,910605;0,366086;0,066225;0,279152
Bahrain;0,680635;0,808789;0,842365;0,763365;0,849445;0,242826;0,450530
Slovakia;0,680431;0,739905;0,926108;0,772130;0,529319;0,030905;0,213781
Trinidad & Tobago;0,679211;0,730998;0,909483;0,624890;0,774960;0,035320;0,326855
Poland;0,677177;0,716152;0,885468;0,774759;0,765452;0,110375;0,206714
Uzbekistan;0,675549;0,442399;0,941502;0,662577;1,000000;0,529801;0,568905
Lithuania;0,670464;0,735154;0,932882;0,716915;0,461173;0,092715;0,075972
Colombia;0,665582;0,584917;0,868227;0,737073;0,744849;0,075055;0,174912
Slovenia;0,664158;0,747031;0,937808;0,835232;0,893819;0,125828;0,254417
Nicaragua;0,661513;0,412114;0,815887;0,731814;0,689382;0,280353;0,353357
Kosovo;0,660496;0,523753;0,758621;0,664330;0,774960;0,013245;0,462898
Argentina;0,657648;0,648456;0,881773;0,772130;0,746434;0,110375;0,116608
Romania;0,654394;0,690024;0,758621;0,723050;0,732171;0,011038;0,146643
Cyprus;0,649512;0,750000;0,753079;0,913234;0,643423;0,090508;0,335689
Ecuador;0,645850;0,541568;0,807882;0,760736;0,789223;0,192053;0,222615
Kuwait;0,644426;0,890736;0,812192;0,708151;0,781300;0,214128;0,250883
Thailand;0,641782;0,623515;0,867611;0,725679;0,882726;0,061810;0,634276
Latvia;0,627950;0,704869;0,902094;0,711656;0,418384;0,141280;0,132509
South Korea;0,618796;0,772565;0,750616;0,907975;0,251981;0,123620;0,309187
Estonia;0,618389;0,734561;0,940887;0,765995;0,784469;0,355408;0,181979
Jamaica;0,617779;0,493468;0,910099;0,728309;0,776545;0,061810;0,189046
Mauritius;0,617372;0,665083;0,863300;0,699387;0,789223;0,132450;0,379859
Japan;0,616965;0,788005;0,873768;0,953550;0,705230;0,309051;0,121908
Honduras;0,611676;0,381235;0,761084;0,725679;0,803487;0,172185;0,434629
Kazakhstan;0,601302;0,696556;0,928571;0,638913;0,649762;0,211921;0,257951
Bolivia;0,595199;0,460808;0,744458;0,618755;0,809826;0,141280;0,242049
Hungary;0,590928;0,713183;0,868227;0,725679;0,315372;0,044150;0,143110
Paraguay;0,587876;0,507720;0,908251;0,680982;0,814580;0,176600;0,325088
Northern Cyprus;0,582791;0,750000;0,770936;0,913234;0,660856;0,357616;0,337456
Peru;0,578519;0,570071;0,784483;0,748466;0,721078;0,059603;0,146643
Portugal;0,577705;0,725059;0,881158;0,875548;0,805071;0,055188;0,083039
Pakistan;0,569569;0,402019;0,545567;0,468887;0,496038;0,216336;0,388693
Russia;0,568552;0,702494;0,894089;0,636284;0,529319;0,068433;0,144876
Philippines;0,565094;0,479216;0,796182;0,575811;0,884311;0,236203;0,206714
Serbia;0,559398;0,596200;0,851601;0,748466;0,446910;0,086093;0,242049
Moldova;0,544345;0,406770;0,817734;0,647677;0,388273;0,000000;0,319788
Libya;0,543531;0,619952;0,802340;0,589833;0,659271;0,335541;0,234982
Montenegro;0,543124;0,624109;0,838054;0,763365;0,312203;0,176600;0,250883
Tajikistan;0,531733;0,292755;0,676108;0,629273;0,616482;0,317881;0,406360
Croatia;0,524614;0,685867;0,779557;0,801052;0,469097;0,048565;0,210247
Hong Kong;0,524207;0,853919;0,786330;0,983348;0,697306;0,633554;0,455830
Dominican Republic;0,523190;0,602732;0,862685;0,682734;0,787639;0,222958;0,199647
Bosnia and Herzegovina;0,515256;0,561164;0,746305;0,740578;0,335975;0,013245;0,464664
Turkey;0,512612;0,702494;0,837438;0,708151;0,309033;0,233996;0,146643
Malaysia;0,505696;0,725059;0,721059;0,725679;0,805071;0,052980;0,459364
Belarus;0,502441;0,633610;0,902094;0,691499;0,372425;0,313466;0,166078
Greece;0,495118;0,701306;0,711823;0,875548;0,106181;0,075055;0,000000
Mongolia;0,494711;0,562945;0,942734;0,584575;0,502377;0,083885;0,415194
North Macedonia;0,492474;0,583729;0,796798;0,734443;0,546751;0,075055;0,326855
Nigeria;0,490643;0,413302;0,684113;0,214724;0,675119;0,090508;0,379859
Kyrgyzstan;0,489829;0,327197;0,885468;0,633655;0,805071;0,050773;0,530035
Turkmenistan;0,486981;0,624703;0,947044;0,575811;0,624406;0,061810;0,431095
Algeria;0,479658;0,595012;0,714286;0,687993;0,136292;0,251656;0,128975
Morocco;0,479048;0,475653;0,481527;0,685364;0,662441;0,167770;0,063604
Azerbaijan;0,479048;0,619359;0,706281;0,673970;0,556260;0,401766;0,061837
Lebanon;0,476810;0,586105;0,753695;0,714286;0,342314;0,059603;0,293286
Indonesia;0,475793;0,552850;0,740764;0,578440;0,778130;0,061810;0,879859
China;0,475590;0,611045;0,692734;0,782647;0,825674;0,220751;0,102473
Vietnam;0,472335;0,440024;0,828818;0,745837;0,860539;0,161148;0,259717
Bhutan;0,453417;0,482779;0,813424;0,529360;0,724247;0,368653;0,653710
Cameroon;0,445688;0,326010;0,560345;0,290096;0,603803;0,081678;0,330389
Bulgaria;0,438975;0,648456;0,931650;0,714286;0,492868;0,008830;0,143110
Ghana;0,435924;0,362827;0,534483;0,425942;0,603803;0,088300;0,432862
Ivory Coast;0,425346;0,337886;0,497537;0,203330;0,557845;0,198675;0,272085
Nepal;0,419040;0,264846;0,754926;0,593339;0,695721;0,196468;0,503534
Jordan;0,417616;0,497031;0,754310;0,714286;0,606973;0,286976;0,194346
Benin;0,412937;0,233373;0,269089;0,347940;0,553090;0,181015;0,309187
Congo (Brazzaville);0,398495;0,399644;0,491995;0,445223;0,589540;0,205298;0,185512
Gabon;0,395850;0,627672;0,728448;0,500438;0,467512;0,121413;0,075972
Laos;0,395240;0,453682;0,634236;0,482910;0,866878;0,362031;0,469965
South Africa;0,380187;0,570071;0,831897;0,411043;0,616482;0,121413;0,229682
Albania;0,379577;0,562352;0,522167;0,765995;0,606973;0,059603;0,314488
Venezuela;0,377136;0,570071;0,878695;0,705521;0,244057;0,103753;0,113074
Cambodia;0,375712;0,340855;0,690887;0,558282;0,965135;0,136865;0,409894
Palestinian Territories;0,374898;0,390143;0,767857;0,588957;0,356577;0,145695;0,181979
Senegal;0,371847;0,267221;0,698276;0,500438;0,462758;0,158940;0,270318
Somalia;0,369203;0,000000;0,429803;0,234882;0,885895;0,596026;0,429329
Namibia;0,363303;0,521971;0,808498;0,418054;0,635499;0,123620;0,123675
Niger;0,361066;0,081948;0,476601;0,320771;0,503962;0,225166;0,332155
Burkina Faso;0,352726;0,196556;0,650246;0,333041;0,404120;0,249448;0,312721
Armenia;0,347030;0,504751;0,649631;0,714286;0,448494;0,141280;0,167845
Iran;0,344793;0,653207;0,518473;0,687993;0,483360;0,275938;0,477032
Guinea;0,341945;0,225653;0,510468;0,328659;0,526149;0,189845;0,365724
