name;happinessIndex;gdpPerCapita;socialSupport;healthIndex;freedomIndex;corruptionPerception;generosityIndex
Georgia;0,338893;0,526128;0,410099;0,659071;0,548336;0,362031;0,075972
Gambia;0,338283;0,182898;0,578202;0,375110;0,605388;0,368653;0,475265
Kenya;0,336859;0,304038;0,605296;0,509202;0,683043;0,116998;0,657244
Mauritania;0,332994;0,338480;0,718596;0,428571;0,104596;0,194260;0,187279
Mozambique;0,328112;0,121140;0,607143;0,341805;0,782884;0,304636;0,348057
Tunisia;0,327095;0,546912;0,615764;0,714286;0,264659;0,121413;0,104240
Bangladesh;0,326078;0,333729;0,571429;0,633655;0,835182;0,315673;0,293286
Iraq;0,322213;0,619359;0,603448;0,503067;0,381933;0,196468;0,261484
Congo (Kinshasa);0,318348;0,055819;0,692734;0,312883;0,426307;0,116998;0,374558
Mali;0,312653;0,228622;0,680419;0,269939;0,518225;0,114790;0,270318
Sierra Leone;0,309398;0,159145;0,517857;0,212095;0,489699;0,099338;0,445230
Sri Lanka;0,307771;0,563539;0,778941;0,728309;0,744849;0,103753;0,431095
Myanmar;0,306550;0,421615;0,727217;0,486415;0,832013;0,379691;1,000000
Chad;0,304516;0,207838;0,471675;0,168273;0,275753;0,172185;0,349823
Ukraine;0,300854;0,486936;0,855911;0,647677;0,282092;0,022075;0,330389
Ethiopia;0,291497;0,199525;0,636084;0,466258;0,545166;0,220751;0,369258
Swaziland;0,276444;0,481591;0,707512;0,000000;0,496038;0,298013;0,130742
Uganda;0,271766;0,197150;0,658251;0,388256;0,564184;0,132450;0,445230
Egypt;0,267087;0,542162;0,639778;0,564417;0,381933;0,147903;0,134276
Zambia;0,255085;0,343230;0,651478;0,373357;0,683043;0,192053;0,436396
Togo;0,250610;0,163302;0,352217;0,359334;0,464342;0,187638;0,312721
India;0,236371;0,448337;0,471059;0,515337;0,789223;0,187638;0,353357
Liberia;0,228234;0,043349;0,567734;0,388256;0,586371;0,072848;0,411661
Comoros;0,227828;0,162708;0,466133;0,442594;0,225040;0,172185;0,485866
Madagascar;0,219691;0,162708;0,564039;0,486415;0,234548;0,090508;0,298587
Lesotho;0,193043;0,290380;0,719828;0,147239;0,568938;0,205298;0,189046
Burundi;0,187551;0,027316;0,275246;0,333041;0,348653;0,397351;0,310954
Zimbabwe;0,164768;0,217340;0,685961;0,379492;0,572108;0,196468;0,266784
Haiti;0,151343;0,191805;0,423645;0,393514;0,041204;0,242826;0,740283
Botswana;0,129170;0,618171;0,705049;0,471516;0,721078;0,220751;0,044170
Syria;0,123881;0,367577;0,232759;0,385627;0,020602;0,311258;0,584806
Malawi;0,113303;0,113420;0,344828;0,433830;0,702060;0,196468;0,385159
Yemen;0,107201;0,170428;0,716133;0,405784;0,226624;0,169978;0,190813
Rwanda;0,097844;0,213183;0,437808;0,538124;0,879556;0,907285;0,383392
Tanzania;0,076892;0,282660;0,544951;0,437336;0,660856;0,324503;0,487633
Afghanistan;0,071196;0,207838;0,318350;0,316389;0,000000;0,055188;0,279152
Central African Republic;0,046786;0,015439;0,000000;0,092025;0,356577;0,077263;0,415194
South Sudan;0,000000;0,181710;0,354064;0,258545;0,015848;0,200883;0,356890
