name;happinessIndex;gdpPerCapita;socialSupport;healthIndex;freedomIndex;corruptionPerception;generosityIndex
Indonesia;0,398038;0,097121;0,560543;0,284226;0,791045;0,053452;1,000000
China;0,397804;0,214627;0,479123;0,630953;0,847015;0,213809;0,116465
Bulgaria;0,355758;0,290167;0,884133;0,514881;0,455223;0,000000;0,162651
Gabon;0,306237;0,248200;0,539665;0,151785;0,425373;0,113586;0,086346
South Africa;0,288250;0,131893;0,715032;0,000000;0,600746;0,113586;0,261044
Albania;0,287550;0,116307;0,189978;0,602679;0,589552;0,051225;0,357430
Venezuela;0,284747;0,131893;0,794364;0,499999;0,162313;0,095769;0,128514
Namibia;0,268862;0,034770;0,675366;0,011904;0,623134;0,115813;0,140562
Armenia;0,250175;0,000000;0,406055;0,514881;0,402984;0,133630;0,190764
Iran;0,247606;0,299760;0,183716;0,470238;0,444030;0,269488;0,542169
Georgia;0,240831;0,043164;0,000000;0,421131;0,520522;0,356348;0,086346
Tunisia;0,227283;0,085131;0,348643;0,514881;0,186567;0,113586;0,118474
Iraq;0,221677;0,231415;0,327765;0,156249;0,324626;0,189310;0,297189
Sri Lanka;0,205093;0,118704;0,625261;0,538691;0,751865;0,095769;0,489959
Egypt;0,158374;0,075540;0,389352;0,260416;0,324626;0,140312;0,152611
Botswana;0,000000;0,229016;0,499999;0,102678;0,723881;0,213809;0,050201
