name;happinessIndex;gdpPerCapita;socialSupport;healthIndex;freedomIndex;corruptionPerception;generosityIndex
Finland;1,000000;0,587529;0,961378;0,769345;0,986940;0,866370;0,307229
Denmark;0,960523;0,639089;0,946764;0,784225;0,979477;0,904231;0,506024
Norway;0,949778;0,764987;0,956159;0,831845;1,000000;0,750556;0,544177
Iceland;0,935762;0,635490;1,000000;0,828869;0,977612;0,253898;0,710843
Netherlands;0,934361;0,654677;0,893528;0,788691;0,914179;0,654789;0,646587
Switzerland;0,932492;0,721823;0,897703;0,867559;0,942165;0,755011;0,528112
Sweden;0,900490;0,643884;0,856993;0,803571;0,945895;0,821827;0,536144
New Zealand;0,892081;0,543165;0,930063;0,828869;0,966418;0,837416;0,662650
Canada;0,885307;0,617506;0,875783;0,848215;0,964552;0,677060;0,572289
Austria;0,877833;0,630695;0,844467;0,813988;0,867537;0,494432;0,489959
Australia;0,873627;0,625899;0,920668;0,843749;0,914179;0,636971;0,666666
Costa Rica;0,859379;0,220622;0,808976;0,735118;0,916045;0,198218;0,289157
Israel;0,852838;0,510792;0,823591;0,833332;0,567164;0,173719;0,524096
Luxembourg;0,841393;0,910071;0,848642;0,808035;0,856343;0,694878;0,389558
United Kingdom;0,832983;0,579137;0,910229;0,784225;0,714552;0,610245;0,698795
Ireland;0,825275;0,778178;0,925888;0,788691;0,837687;0,681515;0,598394
Germany;0,816866;0,627099;0,822546;0,770834;0,798507;0,581292;0,524096
Belgium;0,802383;0,606715;0,874738;0,769345;0,757463;0,458797;0,321286
United States;0,795141;0,699040;0,825678;0,602679;0,722015;0,276170;0,562249
Czech Republic;0,785797;0,502398;0,856993;0,671130;0,727612;0,071269;0,092369
United Arab Emirates;0,779491;0,782974;0,672233;0,529762;0,990672;0,396437;0,526105
Malta;0,756366;0,539567;0,891441;0,788691;0,927238;0,327394;0,753012
Mexico;0,725765;0,263789;0,685803;0,583333;0,682835;0,153675;0,148594
France;0,725065;0,568344;0,841336;0,857142;0,688433;0,398664;0,222891
Taiwan;0,690960;0,621104;0,797495;0,662203;0,529851;0,207127;0,485944
Chile;0,690493;0,370503;0,733820;0,671130;0,541045;0,115813;0,375502
Saudi Arabia;0,674375;0,663068;0,721294;0,485119;0,694030;0,285078;0,160643
Qatar;0,674142;1,000000;0,675366;0,598213;0,910447;0,363029;0,441767
Spain;0,669469;0,522781;0,853862;0,882440;0,550373;0,167038;0,307229
Panama;0,661762;0,358513;0,810021;0,656250;0,837687;0,111358;0,218876
Brazil;0,656856;0,184653;0,806890;0,495535;0,602612;0,182628;0,198795
Uruguay;0,655221;0,328536;0,834030;0,627976;0,850746;0,325167;0,255020
Singapore;0,647980;0,865708;0,831941;1,000000;0,912313;1,000000;0,544177
Italy;0,638870;0,532375;0,858037;0,848215;0,305970;0,057906;0,317269
Bahrain;0,633264;0,613909;0,732777;0,598213;0,875000;0,236081;0,512048
Slovakia;0,633029;0,474820;0,874738;0,613096;0,498135;0,022272;0,242972
Trinidad & Tobago;0,631628;0,456835;0,846556;0,363094;0,787313;0,026726;0,371486
Poland;0,629293;0,426858;0,805845;0,617560;0,776120;0,102450;0,234940
Lithuania;0,621584;0,465227;0,886222;0,519345;0,417911;0,084632;0,086346
Colombia;0,615978;0,161870;0,776618;0,553572;0,751865;0,066815;0,198795
Slovenia;0,614343;0,489208;0,894572;0,720238;0,927238;0,118040;0,289157
Kosovo;0,610137;0,038369;0,590814;0,430060;0,787313;0,004454;0,526105
Argentina;0,606867;0,290167;0,799582;0,613096;0,753731;0,102450;0,132530
Romania;0,603130;0,374101;0,590814;0,529762;0,736940;0,002228;0,166666
Cyprus;0,597524;0,495203;0,581420;0,852679;0,632462;0,082406;0,381526
Ecuador;0,593319;0,074340;0,674322;0,593750;0,804104;0,184855;0,253012
Kuwait;0,591684;0,779376;0,681628;0,504465;0,794777;0,207127;0,285140
Thailand;0,588648;0,239807;0,775574;0,534226;0,914179;0,053452;0,720884
Latvia;0,572764;0,404076;0,834030;0,510416;0,367538;0,133630;0,150603
South Korea;0,562252;0,540766;0,577244;0,843749;0,171641;0,115813;0,351405
Estonia;0,561785;0,464029;0,899792;0,602679;0,798507;0,349666;0,206827
Mauritius;0,560617;0,323740;0,768266;0,489584;0,804104;0,124721;0,431727
Japan;0,560150;0,571943;0,786012;0,921132;0,705224;0,302896;0,138554
Kazakhstan;0,542163;0,387290;0,878914;0,386904;0,639925;0,204900;0,293173
Hungary;0,530250;0,420863;0,776618;0,534226;0,246268;0,035635;0,162651
Paraguay;0,526746;0,005995;0,844467;0,458334;0,833955;0,169265;0,369477
Northern Cyprus;0,520906;0,495203;0,611691;0,852679;0,652985;0,351893;0,383534
Peru;0,516001;0,131893;0,634656;0,572916;0,723881;0,051225;0,166666
Portugal;0,515066;0,444843;0,798539;0,788691;0,822761;0,046771;0,094378
Russia;0,504555;0,399280;0,820460;0,382440;0,498135;0,060134;0,164658
Serbia;0,494044;0,184653;0,748434;0,572916;0,401120;0,077951;0,275100
Libya;0,475823;0,232612;0,664927;0,303571;0,651119;0,329622;0,267068
Montenegro;0,475356;0,241006;0,725469;0,598213;0,242537;0,169265;0,285140
Croatia;0,454100;0,365707;0,626305;0,662203;0,427239;0,040089;0,238955
Hong Kong;0,453633;0,705035;0,637787;0,971726;0,695896;0,630289;0,518072
Dominican Republic;0,452465;0,197842;0,767224;0,461309;0,802239;0,216036;0,226908
Bosnia and Herzegovina;0,443354;0,113908;0,569936;0,559523;0,270523;0,004454;0,528112
Turkey;0,440318;0,399280;0,724425;0,504465;0,238805;0,227172;0,166666
Malaysia;0,432376;0,444843;0,527139;0,534226;0,822761;0,044543;0,522088
Belarus;0,428638;0,260190;0,834030;0,476191;0,313433;0,307350;0,188755
Greece;0,420229;0,396881;0,511482;0,788691;0,000000;0,066815;0,000000
Mongolia;0,419762;0,117505;0,902923;0,294643;0,466417;0,075724;0,471887
North Macedonia;0,417193;0,159471;0,655532;0,549106;0,518656;0,066815;0,371486
Turkmenistan;0,410885;0,242205;0,910229;0,279762;0,610075;0,053452;0,489959
Algeria;0,402476;0,182254;0,515658;0,470238;0,035448;0,244989;0,146586
Azerbaijan;0,401775;0,231415;0,502088;0,446428;0,529851;0,396437;0,070281
Lebanon;0,399205;0,164269;0,582464;0,514881;0,277985;0,051225;0,333333
