name;happinessIndex;gdpPerCapita;socialSupport;healthIndex;freedomIndex;corruptionPerception;generosityIndex
Finland;1,000000;0,200000;0,729927;0,000000;0,847826;0,941781;0,000000
Denmark;0,634199;0,432432;0,627737;0,151515;0,760870;1,000000;0,492537
Norway;0,534632;1,000000;0,693431;0,636364;1,000000;0,763699;0,587065
Iceland;0,404762;0,416216;1,000000;0,606061;0,739130;0,000000;1,000000
Netherlands;0,391775;0,502703;0,255474;0,196970;0,000000;0,616438;0,840796
Switzerland;0,374459;0,805405;0,284672;1,000000;0,326087;0,770548;0,547264
Sweden;0,077922;0,454054;0,000000;0,348485;0,369565;0,873288;0,567164
New Zealand;0,000000;0,000000;0,510949;0,606061;0,608696;0,897260;0,880597
